店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
人気グルメ＆レストラン,,,,,,,,
地鶏と焼き鳥 個室居酒屋 鳥心‐TORISHIN‐札幌駅前店,050-5486-5241,,〒060-0002  北海道,札幌市,,中央区北2条西3-1-18 第25桂和ビル 8F,,
地鶏と焼き鳥 個室居酒屋 鳥心‐TORISHIN‐札幌駅前店,,,,,,,,
地鶏と焼き鳥 個室居酒屋 鳥心‐TORISHIN‐札幌駅前店,,,,,,,,
【JR55店】個室×イタリアンダイニング グラッツェ 札幌駅JR55店,050-5484-7130,,〒060-0005  北海道,札幌市,,中央区北5条西5-1-1 JRsapporoビル6F,https://italian-grazie.jp/jr55/,True
【JR55店】個室×イタリアンダイニング グラッツェ 札幌駅JR55店,,,,,,,,
【JR55店】個室×イタリアンダイニング グラッツェ 札幌駅JR55店,,,,,,,,
海鮮個室酒場 伊まり 札幌駅南口店,050-5485-4909,,〒060-0004  北海道,札幌市,,中央区北4条西4-1-1 ニュー札幌ビルB1,,
海鮮個室酒場 伊まり 札幌駅南口店,,,,,,,,
海鮮個室酒場 伊まり 札幌駅南口店,,,,,,,,
全席個室 じぶんどき 札幌駅前店,050-5494-0293,,〒060-0004  北海道,札幌市,,中央区北4条西2-1-1 カメイ札幌駅前ビルB1,https://jibundoki.dkdining.com/sapporo/,True
全席個室 じぶんどき 札幌駅前店,,,,,,,,
全席個室 じぶんどき 札幌駅前店,,,,,,,,
完全掘り炬燵×北の海鮮と肉刺し料理 美味門 札幌駅前店,080-4615-8320,,〒060-0001  北海道,札幌市,,中央区北1条西3-3-28 札幌中央ビル5F,,
完全掘り炬燵×北の海鮮と肉刺し料理 美味門 札幌駅前店,,,,,,,,
完全掘り炬燵×北の海鮮と肉刺し料理 美味門 札幌駅前店,,,,,,,,
【個室のある居酒屋・レストラン特集】,,,,,,,,
,,,,,,,,
【北2条店】夜景×個室 イタリアンダイニング グラッツェ 北2条店,050-5486-0768,,〒060-0002  北海道,札幌市,,中央区北2条西3-1-18 第25桂和ビル3F,https://italian-grazie.jp/kita2/,True
【北2条店】夜景×個室 イタリアンダイニング グラッツェ 北2条店,,,,,,,,
【北2条店】夜景×個室 イタリアンダイニング グラッツェ 北2条店,,,,,,,,
個室×北海道極食材籠家（かごや） 札幌駅本店,050-5487-3705,,〒060-0004  北海道,札幌市,,中央区北4条西2-1-25 札幌TRビル9F,,
個室×北海道極食材籠家（かごや） 札幌駅本店,,,,,,,,
個室×北海道極食材籠家（かごや） 札幌駅本店,,,,,,,,
炭焼・寿し処 炙屋（あぶりや） 札幌駅南口店,050-5484-8462,,〒060-0004  北海道,札幌市,,中央区北4条西2 札幌TRビル10F,http://www.aburiya.com/,
炭焼・寿し処 炙屋（あぶりや） 札幌駅南口店,,,,,,,,
炭焼・寿し処 炙屋（あぶりや） 札幌駅南口店,,,,,,,,
【個室完備】北海道和食 隠れ家居酒屋 彩屋～いろどりや～札幌店,050-5488-4419,,〒060-0004  北海道,札幌市,,中央区北4条西5-1 アスティ45ビルB1,,
【個室完備】北海道和食 隠れ家居酒屋 彩屋～いろどりや～札幌店,,,,,,,,
【個室完備】北海道和食 隠れ家居酒屋 彩屋～いろどりや～札幌店,,,,,,,,
個室居酒屋 四季彩 ‐Shikisai‐ 札幌店,050-5486-8525,,〒060-0004  北海道,札幌市,,中央区北四条西4-1 読売北海道ビル2F,,
個室居酒屋 四季彩 ‐Shikisai‐ 札幌店,,,,,,,,
個室居酒屋 四季彩 ‐Shikisai‐ 札幌店,,,,,,,,
海鮮個室酒場 伊まり 札幌駅北口店,050-5488-4479,,〒060-0807  北海道,札幌市,,北区北7条西2-20-1 NCO札幌駅北口ビルB1,,
海鮮個室酒場 伊まり 札幌駅北口店,,,,,,,,
海鮮個室酒場 伊まり 札幌駅北口店,,,,,,,,
海鮮 個室居酒屋 はなみずき 札幌駅前店,050-5485-9154,,〒060-0004  北海道,札幌市,,中央区北4条西2-1-25 札幌TRビル6F,,
海鮮 個室居酒屋 はなみずき 札幌駅前店,,,,,,,,
海鮮 個室居酒屋 はなみずき 札幌駅前店,,,,,,,,
極上肉×旨い海鮮を喰らう！個室居酒屋 魚々路 ～Totoro～ 札幌店,050-5487-2845,,〒060-0001  北海道,札幌市,,中央区北1条西3-3-11 桂和北1条ビル3F,,
極上肉×旨い海鮮を喰らう！個室居酒屋 魚々路 ～Totoro～ 札幌店,,,,,,,,
極上肉×旨い海鮮を喰らう！個室居酒屋 魚々路 ～Totoro～ 札幌店,,,,,,,,
【全席個室】酒呑倶楽部 つなよし札幌駅前店,050-5494-7069,,〒060-0808  北海道,札幌市,,北区北8条西4-13-1 ブランシャールBLD3F,,
【全席個室】酒呑倶楽部 つなよし札幌駅前店,,,,,,,,
【全席個室】酒呑倶楽部 つなよし札幌駅前店,,,,,,,,
魚吉 札幌駅前本店,050-5485-1239,,〒060-0807  北海道,札幌市,,北区北7条西2-8-1 札幌北ビルB1,,
魚吉 札幌駅前本店,,,,,,,,
魚吉 札幌駅前本店,,,,,,,,
999円無制限飲み放題 個室居酒屋 和菜美 札幌駅前店,050-5488-6247,,〒060-0004  北海道,札幌市,,中央区北4条西6-1-1 エターナルパンセ3F,,
999円無制限飲み放題 個室居酒屋 和菜美 札幌駅前店,,,,,,,,
